system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching A:\Projekt Statki c++\STATKI_KOD\
display  D   display_settings.c:357  _al_score_display_settings       [   0.07309] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07310] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07312] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07312] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07313] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07314] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07315] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07316] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07317] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07317] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07318] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.07323] Trying format 0 of 188.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.07344] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.07346] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.08984] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.22294] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.22298] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.22299] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.22304] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22667] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22669] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22670] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22671] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22671] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22672] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22673] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22673] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22674] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.22675] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.22676] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.22677] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.22678] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.22693] added dtor for object 0100F3B8, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.22844] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.22847] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22909] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22911] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22911] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22912] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22913] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22914] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22914] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22915] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22916] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.22917] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.22918] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.22919] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.22920] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.22935] added dtor for object 0100F4B8, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.23084] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.23086] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23147] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23148] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23149] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23150] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23151] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23151] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23152] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23153] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23154] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.23154] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.23155] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.23156] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.23157] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.23171] added dtor for object 0100F5B8, func 575E20F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.23321] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.23324] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23385] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23387] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.23388] Fake format
