system   D            wsystem.c:583  maybe_parent_dir                 [   0.00122] Also searching A:\Projekt Statki c++\STATKI_KOD\
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18801] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18802] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18803] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18803] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.18804] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.18805] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.18806] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.18807] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18819] added dtor for object 00E28130, func 595820F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.19309] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.19312] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19369] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19370] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19371] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19372] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19373] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19373] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19374] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19375] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19376] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.19376] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.19377] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.19378] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.19379] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.19391] added dtor for object 00E318B0, func 595820F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.19542] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.19544] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19596] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19597] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19598] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19599] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19600] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19600] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19601] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19602] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19602] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.19603] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.19604] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.19605] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.19606] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.19621] added dtor for object 00E3AFE0, func 595820F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.19731] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.19733] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.19802] Fake format
